iter	Passed	Remaining
426	2870	490
427	2875	483
428	2880	476
429	2886	469
430	2891	462
431	2896	455
432	2902	449
433	2907	442
434	2911	435
435	2917	428
436	2923	421
437	2928	414
438	2934	407
439	2940	400
440	2945	394
441	2951	387
442	2956	380
443	2961	373
444	2967	366
445	2973	360
446	2978	353
447	2984	346
448	2989	339
449	2995	332
450	3000	326
451	3006	319
452	3012	312
453	3017	305
454	3023	299
455	3029	292
456	3034	285
457	3039	278
458	3045	272
459	3051	265
460	3056	258
461	3062	251
462	3068	245
463	3074	238
464	3080	231
465	3085	225
466	3091	218
467	3097	211
468	3102	205
469	3108	198
470	3114	191
471	3120	185
472	3126	178
473	3132	171
474	3137	165
475	3144	158
476	3149	151
477	3156	145
478	3163	138
479	3168	132
480	3174	125
481	3180	118
482	3185	112
483	3192	105
484	3197	98
485	3203	92
486	3208	85
487	3213	79
488	3218	72
489	3225	65
490	3230	59
491	3235	52
492	3240	46
493	3245	39
494	3250	32
495	3256	26
496	3261	19
497	3265	13
498	3271	6
499	3276	0
