iter	Logloss
0	0.6482353021
1	0.6043150094
2	0.568975084
3	0.5402109781
4	0.51460251
5	0.4959475188
6	0.4711144306
7	0.4504130549
8	0.4321174566
9	0.4206591407
10	0.4022517387
11	0.3895369051
12	0.3758031989
13	0.3638210113
14	0.3519094377
15	0.3409871526
16	0.3285500835
17	0.3178865801
18	0.3080764533
19	0.2988475667
20	0.2918803147
21	0.2840040502
22	0.2764602847
23	0.2709246798
24	0.2649933379
25	0.2584988771
26	0.2538095484
27	0.2480659919
28	0.2424153911
29	0.2383800955
30	0.2338317171
31	0.227328256
32	0.2212627756
33	0.2163408963
34	0.2108406814
35	0.2073911282
36	0.204669852
37	0.2004874904
38	0.1955820676
39	0.1933404535
40	0.1905845593
41	0.1858875917
42	0.182418622
43	0.1795084884
44	0.1751538307
45	0.1725741312
46	0.1702486536
47	0.1661461691
48	0.1633360123
49	0.1599040942
50	0.1561950283
51	0.1525725302
52	0.1498619585
53	0.1472868729
54	0.1447953152
55	0.1414717046
56	0.1397472368
57	0.1368388199
58	0.1336614186
59	0.1311944647
60	0.1293186945
61	0.1271375934
62	0.1250841577
63	0.1234071436
64	0.121261471
65	0.1188090874
66	0.117083904
67	0.1148409763
68	0.1127078516
69	0.1107272483
70	0.1087272394
71	0.1064062614
72	0.1043188788
73	0.1030451922
74	0.1016396789
75	0.100548422
76	0.09906460009
77	0.0976905327
78	0.09588116309
79	0.09459166165
80	0.09268531875
81	0.09093442844
82	0.08928738844
83	0.08720069409
84	0.08477383544
85	0.08373928359
86	0.08204499264
87	0.08068427434
88	0.07897110308
89	0.07695923334
90	0.07511105186
91	0.07366244287
92	0.07201672807
93	0.07112777731
94	0.07008041866
95	0.06830403737
96	0.06723227399
97	0.06626387975
98	0.06518455845
99	0.06342297051
100	0.06179222114
101	0.06067548845
102	0.05998933197
103	0.05834267176
104	0.05768552996
105	0.05689522011
106	0.05590807736
107	0.05443431862
108	0.05363290997
109	0.0526040538
110	0.05206516775
111	0.0509613557
112	0.05030995653
113	0.04966992081
114	0.04891324253
115	0.0482250372
116	0.04760542063
117	0.04688042461
118	0.04638567813
119	0.04557590936
120	0.04499134241
121	0.04417512598
122	0.04310270124
123	0.04251547274
124	0.04183771259
125	0.04120675447
126	0.04051172156
127	0.03992303763
128	0.03960378558
129	0.03884660227
130	0.03841583682
131	0.03803382363
132	0.03726718685
133	0.0367827161
134	0.0362262735
135	0.03562164307
136	0.03516928998
137	0.0345763911
138	0.03394007421
139	0.03324172756
140	0.03260940307
141	0.03219628216
142	0.03169593717
143	0.03114644804
144	0.03075213558
145	0.03039710265
146	0.03009115023
147	0.02945486914
148	0.02893256879
149	0.02864193575
150	0.02831521443
151	0.02786854129
152	0.02738470908
153	0.02704048196
154	0.02668523408
155	0.02620859587
156	0.02580806603
157	0.02540839768
158	0.02501594666
159	0.02474228213
160	0.02449661946
161	0.02421386237
162	0.0238180453
163	0.02346014806
164	0.02320012034
165	0.02278321162
166	0.02240156957
167	0.02207706562
168	0.02191318878
169	0.02169665684
170	0.02150694582
171	0.02131450071
172	0.02095636939
173	0.02072423244
174	0.02040238887
175	0.02019225777
176	0.0200092845
177	0.01982474484
178	0.01950995783
179	0.01935183149
180	0.019185854
181	0.01894618864
182	0.01869005784
183	0.01840988428
184	0.01818246351
185	0.01803337924
186	0.0178105443
187	0.0176639612
188	0.01748855594
189	0.01727413528
190	0.01705874835
191	0.01677405585
192	0.01665680978
193	0.01644251134
194	0.01627217425
195	0.01612088704
196	0.01596550002
197	0.01584220693
198	0.01566328467
199	0.01542580088
